Influencer Name,Platform,Category,Followers,Engagement Rate (%),Revenue,Incremental Revenue,ROAS,Spend
Influencer_1,Twitter,Yoga,474408,2.62,49723,3822,2.91,1813
Influencer_2,Instagram,Fitness,329808,8.08,75933,6404,5.39,7945
Influencer_3,Instagram,Yoga,390266,1.55,22151,4425,6.71,2536
Influencer_4,Instagram,Lifestyle,258208,7.61,46969,2975,3.17,6784
Influencer_5,YouTube,Lifestyle,355701,9.65,31712,9154,3.18,4896
Influencer_6,Instagram,Lifestyle,365819,4.98,44339,4728,5.6,7900
Influencer_7,Twitter,Fitness,264315,3.22,76369,7234,4.17,1788
Influencer_8,Twitter,Health,143719,3.1,73019,8458,3.75,5437
Influencer_9,Twitter,Lifestyle,423425,9.14,73691,9669,3.56,2914
Influencer_10,Twitter,Fitness,75490,3.9,90845,5934,2.94,6757
Influencer_11,Facebook,Health,117896,1.07,60607,3529,2.24,7515
Influencer_12,Twitter,Yoga,341100,4.63,48407,2098,5.36,4679
Influencer_13,Twitter,Yoga,58085,4.81,26075,7633,7.03,8514
Influencer_14,Facebook,Yoga,91909,2.26,55790,4885,5.42,8811
Influencer_15,YouTube,Health,263540,0.92,90074,7774,6.2,3454
Influencer_16,Facebook,Yoga,107334,5.06,66239,4867,1.64,4184
Influencer_17,Twitter,Fitness,115725,8.08,92193,7998,2.97,5745
Influencer_18,YouTube,Lifestyle,395028,3.43,69269,5090,2.61,7494
Influencer_19,Facebook,Lifestyle,391627,1.2,47856,4032,2.43,4758
Influencer_20,Twitter,Health,488574,9.03,53834,8530,4.01,4754
Influencer_21,Instagram,Fitness,445656,4.84,20841,5662,7.19,8911
Influencer_22,YouTube,Fitness,74930,4.23,78733,4249,5.26,8900
Influencer_23,YouTube,Fitness,20447,5.69,48367,8377,5.52,4158
Influencer_24,Instagram,Fitness,419045,4.25,28296,8949,7.41,5518
Influencer_25,Twitter,Fitness,487661,5.27,97969,2844,3.0,8462
Influencer_26,Facebook,Lifestyle,435397,4.8,11351,2233,5.32,4065
Influencer_27,Twitter,Lifestyle,116982,7.67,41947,7558,5.39,3117
Influencer_28,Instagram,Fitness,254579,5.65,28209,6003,2.12,5071
Influencer_29,Twitter,Lifestyle,473614,4.32,56085,2376,2.55,5608
Influencer_30,Instagram,Lifestyle,227416,8.62,80970,3115,1.54,4979
Influencer_31,Instagram,Yoga,125715,8.37,32297,6080,4.05,4625
Influencer_32,Twitter,Fitness,463864,5.59,56791,1906,6.75,3062
Influencer_33,Instagram,Health,319673,6.94,11758,8355,2.51,3018
Influencer_34,Instagram,Fitness,214036,5.37,34295,2394,3.54,8793
Influencer_35,Twitter,Health,179262,8.22,70587,1038,7.13,8555
Influencer_36,Twitter,Yoga,72057,8.3,33672,6414,7.03,1666
Influencer_37,Twitter,Health,261423,1.42,44728,2574,6.45,8248
Influencer_38,YouTube,Fitness,44470,6.62,76662,3139,3.53,3058
Influencer_39,YouTube,Health,295390,8.4,42934,6230,4.56,1125
Influencer_40,Instagram,Health,27789,5.14,55049,9923,3.79,7207
Influencer_41,Twitter,Lifestyle,344503,3.19,75477,6428,4.58,4993
Influencer_42,Instagram,Yoga,274776,8.1,19020,9367,5.38,1966
Influencer_43,Twitter,Fitness,395633,9.51,64547,8996,3.06,8792
Influencer_44,Twitter,Health,226279,3.95,30113,4712,3.56,6122
Influencer_45,Facebook,Health,65823,4.92,93780,5513,6.72,8955
Influencer_46,Instagram,Lifestyle,191744,1.88,71856,3043,3.73,3760
Influencer_47,Twitter,Yoga,201965,5.63,14550,8455,7.1,2524
Influencer_48,Facebook,Yoga,166551,1.3,51435,9496,3.38,8213
Influencer_49,Twitter,Yoga,368197,0.75,44716,2189,4.42,4185
Influencer_50,Instagram,Lifestyle,344286,4.33,34885,8067,5.61,2427
